"SUID","A549_deg","cis_reg","Key_regulator","name","selected","shared name","Signature","Size","SKLU1_deg"
"1977","A549_dn","","","C19orf48","false","C19orf48","INV","3",""
"2745","A549_dn","","","CHAF1A","false","CHAF1A","INV","6",""
"2746","","","","LMNB2","false","LMNB2","INV","5","SKLU1_dn"
"1467","","","","ASF1B","false","ASF1B","INV","3","SKLU1_dn"
"2747","A549_dn","CNV","","MCM5","false","MCM5","INV","0","SKLU1_dn"
"1469","","","","FAM111B","false","FAM111B","INV","1",""
"1470","","","","RNASEH2A","false","RNASEH2A","INV","3",""
"4289","","CNV","","GARS","false","GARS","INV","1",""
"1733","A549_dn","CNV","","BIRC5","false","BIRC5","INV","4","SKLU1_up"
"1224","","","","ANLN","false","ANLN","INV","3","SKLU1_dn"
"1483","","","","ASPM","false","ASPM","INV","4",""
"4557","","","","GTSE1","false","GTSE1","INV","5",""
"7885","","CNV","","TROAP","false","TROAP","INV","13",""
"4558","","","","MKI67","false","MKI67","INV","5",""
"1486","","","","NUSAP1","false","NUSAP1","INV","1","SKLU1_dn"
"2768","","CNV","","MCM2","false","MCM2","INV","6","SKLU1_dn"
"2770","","CNV","","CHFR","false","CHFR","INV","1",""
"4570","","","","H2AFZ","false","H2AFZ","INV","3",""
"5085","","","","KIF11","false","KIF11","INV","12",""
"5086","","","","MTHFD2","false","MTHFD2","INV","6","SKLU1_dn"
"5854","","","","SLC7A5","false","SLC7A5","INV","0",""
"5087","","CNV","","RACGAP1","false","RACGAP1","INV","11","SKLU1_dn"
"1760","","CNV","","BRCA1","false","BRCA1","INV","1",""
"1761","A549_dn","","","CDC6","false","CDC6","INV","2",""
"5092","A549_dn","CNV","","KIF18B","false","KIF18B","INV","15","SKLU1_dn"
"5094","A549_dn","CNV","","E2F1","false","E2F1","INV","0",""
"5095","","","","EZH2","false","EZH2","INV","0",""
"5096","","CNV","","KNTC1","false","KNTC1","INV","8",""
"3817","","","","ESPL1","false","ESPL1","INV","6","SKLU1_dn"
"5099","","","","SPAG5","false","SPAG5","INV","2",""
"5100","A549_dn","","I_key","UHRF1","false","UHRF1","INV","4","SKLU1_dn"
